rep,method,learner,orcl,orcl_neigh,fs_specification,kernel,coef_Conventional,coef_Bias-Corrected,coef_Robust,se_Conventional,se_Bias-Corrected,se_Robust,lower_ci_Conventional,lower_ci_Bias-Corrected,lower_ci_Robust,upper_ci_Conventional,upper_ci_Bias-Corrected,upper_ci_Robust,CI width_Conventional,Coverage_Conventional,centered coef_Conventional,CI width_Bias-Corrected,Coverage_Bias-Corrected,centered coef_Bias-Corrected,CI width_Robust,Coverage_Robust,centered coef_Robust
2,rdrobust,linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.09281742345670504,0.10336378330004826,0.10336378330004826,0.012236504638135567,0.012236504638135567,0.014742279591056687,0.068834315069302,0.07938067491264522,0.07446944625155728,0.11680053184410809,0.1273468916874513,0.13225812034853923,0.047966216774806086,True,-0.011247473509394978,0.047966216774806086,True,-0.0007011136660517586,0.05778867409698195,True,-0.0007011136660517586
2,rdflex,linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.12041987287312242,0.12620714212530212,0.12620714212530212,0.029222851441085253,0.029222851441085253,0.029222851441085253,0.06591617667504127,0.07170344592722097,0.06893140577521062,0.17492356907120357,0.18071083832338328,0.18348287847539363,0.1090073923961623,True,0.016354975907022395,0.1090073923961623,True,0.0221422451592021,0.11455147270018301,True,0.0221422451592021
2,rdflex,global_linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.11806496867422023,0.12315799893994192,0.12315799893994192,0.03181284310504446,0.03181284310504446,0.03181284310504446,0.058732285189523135,0.06382531545524484,0.0608059722082314,0.1773976521589173,0.182490682424639,0.18551002567165245,0.11866536696939417,True,0.014000071708120204,0.11866536696939417,True,0.019093101973841897,0.12470405346342106,True,0.019093101973841897
2,rdflex,lgbm,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.07151400198156484,0.08033115603219684,0.08033115603219684,0.018696896770197705,0.018696896770197705,0.018696896770197705,0.03939929141698345,0.04821644546761546,0.043685911739946084,0.10362871254614622,0.11244586659677823,0.1169764003244476,0.06422942112916277,False,-0.032550894984535186,0.06422942112916277,True,-0.02373374093390318,0.07329048858450152,True,-0.02373374093390318
2,rdflex,stacking_regressor,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.09441798812351056,0.10561248393481275,0.10561248393481275,0.02457318950165521,0.02457318950165521,0.02457318950165521,0.05222584566780253,0.06342034147910472,0.05744991752629078,0.13661013057921859,0.14780462639052078,0.15377505034333472,0.08438428491141606,True,-0.009646908842589466,0.08438428491141606,True,0.0015475869687127247,0.09632513281704394,True,0.0015475869687127247
3,rdrobust,linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.1502313273672723,0.17615206726201407,0.17615206726201407,0.01703370661388381,0.01703370661388381,0.02003866871015918,0.1168458758808383,0.14276661577558009,0.13687699829197236,0.18361677885370628,0.20953751874844806,0.21542713623205578,0.06677090297286797,False,0.04616643040117227,0.06677090297286797,False,0.07208717029591405,0.07855013794008342,False,0.07208717029591405
3,rdflex,linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.21074388798603264,0.2303486570063007,0.2303486570063007,0.04743442493895091,0.04743442493895091,0.04743442493895091,0.12357319695318365,0.14317796597345173,0.13737889249858837,0.29791457901888163,0.31751934803914966,0.323318421514013,0.174341382065698,False,0.10667899101993261,0.17434138206569794,False,0.12628376004020067,0.18593952901542465,False,0.12628376004020067
3,rdflex,global_linear,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.20267117998816378,0.22150091206267705,0.22150091206267705,0.046893188829815344,0.046893188829815344,0.046893188829815344,0.11625340493959536,0.13508313701410862,0.129591950836003,0.2890889550367322,0.3079186871112455,0.3134098732893511,0.17283555009713686,False,0.09860628302206376,0.17283555009713686,False,0.11743601509657703,0.1838179224533481,False,0.11743601509657703
3,rdflex,lgbm,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.12721905845095896,0.13549410816202223,0.13549410816202223,0.02351586016609205,0.02351586016609205,0.02351586016609205,0.0861095467360619,0.09438459644712517,0.08940386917100172,0.168328570165856,0.1766036198769193,0.18158434715304272,0.0822190234297941,True,0.023154161484858937,0.08221902342979413,True,0.03142921119592221,0.092180477982041,True,0.03142921119592221
3,rdflex,stacking_regressor,0.10406489696610002,0.09261744966442953,cutoff,triangular,0.1618822269282309,0.18565987725691546,0.18565987725691546,0.03261779096235441,0.03261779096235441,0.03261779096235441,0.10587269131487423,0.1296503416435588,0.12173018171544474,0.21789176254158757,0.24166941287027213,0.24958957279838617,0.11201907122671334,False,0.057817329962130876,0.11201907122671334,False,0.08159498029081544,0.12785939108294142,False,0.08159498029081544
