setting,method,duration,error,coef_conventional,coef_robust,coef_bias_corrected,se_conventional,se_robust,se_bias_corrected,ci_0025_conventional,ci_0975_conventional,ci_0025_robust,ci_0975_robust,ci_0025_bias_corrected,ci_0975_bias_corrected,rep,rep_seed,setting_param_fuzzy,setting_data_remove_unexplained,setting_data_subrule,setting_data_score,setting_data_covariates
boundarymindist_intent2treat_unexplained,rdflex_stacking_lgbm,55.11594223976135,,-0.03776545796617894,-0.041797207198570614,-0.041797207198570614,0.010832340192977281,0.010832340192977281,0.012340805424930547,-0.05899645461270007,-0.016534461319657807,-0.065984741371651,-0.017609673025490224,-0.06302820384509175,-0.020566210552049484,93,736000891,False,False,False,boundarymindist,[]
boundarypoint,rdflex_stacking_lgbm,0.004301548004150391,Matrix is not positive definite,,,,,,,,,,,,,45,2435261987,True,True,False,boundarypoint,[]
distance_intent2treat_explained,rdflex_local_linear,0.747779130935669,,-0.007627283174004159,-0.004680181843008993,-0.004680181843008993,0.006114942271305016,0.006114942271305016,0.006742769375897168,-0.019612349793303546,0.004357783445295228,-0.01789576697582706,0.008535403289809073,-0.01666524846230838,0.007304884776290394,54,3470423038,False,True,False,distance,[]
yieldimprovement_fuzzy_explained,rdflex_lgbm,5.623044490814209,,-0.05454414916756212,-0.047651375463617786,-0.047651375463617786,0.007901036102033956,0.007901036102033956,0.013287764687307198,-0.0700298953680994,-0.03905840296702483,-0.07369491568578303,-0.021607835241452544,-0.06313712166415508,-0.032165629263080496,69,2829083382,True,True,False,yieldimprovement,[]
boundarymindist_intent2treat_unexplained,rdrobust,1.7655272483825684,,-0.040025051867716,-0.04034479572064513,-0.04034479572064513,0.009699064677355809,0.011118499616114785,0.009699064677355809,-0.05903486931905799,-0.021015234416374016,-0.062136654530352525,-0.018552936910937734,-0.05935461317198712,-0.021334978269303143,30,1780071613,False,False,False,boundarymindist,[]
distance_intent2treat_explained,oracle_kernel,0.7781734466552734,,-0.06846910999241909,,,,,,,,,,,,47,1940935336,False,True,False,distance,[]
boundarypoint,oracle_neighbour,0.00018906593322753906,,,,,,,,,,,,,,61,1498151398,True,True,False,boundarypoint,[]
distance_fuzzy_explained,rdrobustnocovs,0.23882555961608887,,-0.06271708424976968,-0.0650792610200763,-0.0650792610200763,0.014577008838806004,0.016701193028898175,0.014577008838806004,-0.09128749657615148,-0.034146671923387883,-0.09781299785556814,-0.03234552418458446,-0.0936496733464581,-0.0365088486936945,70,1069158761,True,True,False,distance,[]
boundarymindist_intent2treat_explained,rdflex_global_linear,0.714946985244751,,-0.06598266876539498,-0.06606924128682345,-0.06606924128682345,0.01757332986759946,0.01757332986759946,0.02003309833273551,-0.10042576239433196,-0.031539575136458,-0.10533339251773446,-0.026805090055912452,-0.10051233491576043,-0.031626147657886475,93,736000891,False,True,False,boundarymindist,[]
boundarypoint,oracle_kernel,25.755988121032715,,-0.03868486785037854,,,,,,,,,,,,81,2805854093,True,True,False,boundarypoint,[]
distance_intent2treat_explained_subrule,rdrobustnocovs,0.05863475799560547,,-0.06816120769338807,-0.06321317818846028,-0.06321317818846028,0.01368220249883309,0.017436933143932652,0.01368220249883309,-0.09497783182028485,-0.04134458356649128,-0.09738893915140107,-0.02903741722551951,-0.09002980231535707,-0.036396554061563495,4,1966969161,False,True,True,distance,[]
yieldimprovement_intent2treat_explained,rdrobustnocovs,0.29707980155944824,,-0.05746929847233351,-0.05223202549232375,-0.05223202549232375,0.00396978900177157,0.006293323253838765,0.00396978900177157,-0.065249941942029,-0.04968865500263801,-0.06456671241291616,-0.03989733857173135,-0.06001266896201925,-0.04445138202262826,87,3903000100,False,True,False,yieldimprovement,[]
boundarymindist_intent2treat_explained,rdflex_global_linear,0.7448139190673828,,-0.03466803879496817,-0.03178380613649187,-0.03178380613649187,0.014429254499521942,0.014429254499521942,0.016123674468326177,-0.0629488579377937,-0.006387219652142645,-0.06338562739285919,-0.00018198488012455966,-0.0600646252793174,-0.0035029869936663433,36,2091329539,False,True,False,boundarymindist,[]
boundarymindist_fuzzy_unexplained,oracle_kernel,46.05487298965454,,-0.06560953964147158,,,,,,,,,,,,97,2652205589,True,False,False,boundarymindist,[]
yieldimprovement_fuzzy_explained,oracle_kernel,26.8578360080719,,-0.08615027883511316,,,,,,,,,,,,63,4256594433,True,True,False,yieldimprovement,[]
distance_intent2treat_explained_subrule,oracle_kernel,0.3374063968658447,,-0.03737004123787423,,,,,,,,,,,,58,2773118945,False,True,True,distance,[]
yieldimprovement_intent2treat_explained_subrule,rdrobust,0.05450797080993652,Matrix is not positive definite,,,,,,,,,,,,,83,2328904255,False,True,True,yieldimprovement,[]
distance_fuzzy_explained,rdrobust,1.456634759902954,,-0.061410203109433854,-0.06340401421652794,-0.06340401421652794,0.014161828710884552,0.017042584929072943,0.014161828710884552,-0.08916687733799288,-0.03365352888087483,-0.09680686688097602,-0.030001161552079866,-0.09116068844508697,-0.035647339987968915,24,671807080,True,True,False,distance,[]
boundarypoint,rdflex_lgbm,0.004365682601928711,Matrix is not positive definite,,,,,,,,,,,,,75,1198695184,True,True,False,boundarypoint,[]
distance_intent2treat_explained,rdrobustnocovs,0.16512274742126465,,-0.028182285951442232,-0.02513175034472459,-0.02513175034472459,0.008560279099766858,0.009717366175034383,0.008560279099766858,-0.04496012468459623,-0.011404447218288233,-0.04417743807237973,-0.006086062617069458,-0.04190958907787859,-0.008353911611570591,18,214521254,False,True,False,distance,[]
boundarymindist_fuzzy_unexplained,oracle_kernel,32.228681564331055,,-0.0650421313994033,,,,,,,,,,,,56,1052525787,True,False,False,boundarymindist,[]
yieldimprovement_intent2treat_explained,oracle_kernel,18.14573073387146,,-0.08749719348299578,,,,,,,,,,,,20,2514021257,False,True,False,yieldimprovement,[]
yieldimprovement_fuzzy_explained,rdflex_global_linear,1.4224274158477783,,-0.07136106517545009,-0.07290008244816841,-0.07290008244816841,0.005926298357132401,0.005926298357132401,0.009383053720810688,-0.08297639651706848,-0.05974573383383169,-0.0912905298059619,-0.05450963509037492,-0.0845154137897868,-0.06128475110655002,0,3182414962,True,True,False,yieldimprovement,[]
