setting,method,duration,error,coef_conventional,coef_robust,coef_bias_corrected,se_conventional,se_robust,se_bias_corrected,ci_0025_conventional,ci_0025_robust,ci_0025_bias_corrected,rep,rep_seed,setting_param_fuzzy,setting_data_remove_unexplained,setting_data_subrule,setting_data_score,setting_data_covariates,ci_0975_conventional,ci_0975_robust,ci_0975_bias_corrected
boundarymindist_intent2treat_explained,rdflex_global_linear,0.46231818199157715,,0.17475456129648848,0.1811728929261214,0.1811728929261214,0.03791027711261062,0.03791027711261062,0.0454206530967879,0.10045178351183855,0.09215004870212944,0.10687011514147148,60,1158630380,False,True,False,boundarymindist,[],0.24905733908113842,0.27019573715011336,0.2554756707107713
boundarymindist_intent2treat_explained,rdrobustnocovs,0.02185368537902832,,-0.04596456854111697,-0.07001874030406186,-0.07001874030406186,0.07635760697480887,0.08701265993847655,0.07635760697480887,-0.19562272815740678,-0.2405604199825071,-0.21967689992035166,7,1580891310,False,True,False,boundarymindist,[],0.10369359107517284,0.10052293937438339,0.07963941931222795
boundarymindist_fuzzy_unexplained,rdflex_global_linear,0.7228734493255615,,0.14960963742979924,0.08851035164205073,0.08851035164205073,0.08604851088516599,0.08604851088516599,0.10279149461656716,-0.019042344828428898,-0.11295727572346376,-0.0801416306161774,36,2091329539,True,False,False,boundarymindist,[],0.31826161968802735,0.2899779790075652,0.25716233390027887
yieldimprovement_intent2treat_explained_subrule,rdflex_lgbm,0.0017292499542236328,Matrix is not positive definite,,,,,,,,,,88,1812863563,False,True,True,yieldimprovement,[],,,
distance_fuzzy_explained,rdflex_global_linear,0.600656270980835,,0.15620633563873523,0.16681664904216914,0.16681664904216914,0.03034682999975832,0.03034682999975832,0.03539011042458348,0.09672764179424927,0.09745330720109,0.10733795519768317,59,3702412287,True,True,False,distance,[],0.2156850294832212,0.2361799908832483,0.2262953428866551
yieldimprovement_intent2treat_explained_subrule,oracle_kernel,1.122734546661377,,0.1501152337979415,,,,,,,,,79,2058108915,False,True,True,yieldimprovement,[],,,
boundarypoint,oracle_kernel,2.2911672592163086,,0.020409461163784545,,,,,,,,,88,1812863563,True,True,False,boundarypoint,[],,,
boundarymindist_fuzzy_unexplained,rdrobustnocovs,0.020692825317382812,,0.09018749408966004,0.07912896854115747,0.07912896854115747,0.05466528704124547,0.06357310380041949,0.05466528704124547,-0.016954499715725227,-0.04547202529309116,-0.02801302526422779,56,1052525787,True,False,False,boundarymindist,[],0.19732948789504529,0.2037299623754061,0.18627096234654272
yieldimprovement_intent2treat_explained,rdflex_global_linear,0.45685482025146484,,-0.027080052633238913,-0.03905199517622178,-0.03905199517622178,0.03741751272925042,0.03741751272925042,0.04435452360893562,-0.10041702997363876,-0.12598526400116714,-0.11238897251662162,21,1091097415,False,True,False,yieldimprovement,[],0.04625692470716093,0.04788127364872358,0.034284982164178066
yieldimprovement_intent2treat_explained_subrule,rdflex_lgbm,0.0018315315246582031,Matrix is not positive definite,,,,,,,,,,20,2514021257,False,True,True,yieldimprovement,[],,,
boundarypoint,rdrobust,0.09462332725524902,,0.07677312262590419,0.10754561410556762,0.10754561410556762,0.28722903035249703,0.32616588115577255,0.28722903035249703,-0.48618543217935206,-0.5317277659455181,-0.45541294069968863,64,3353729596,True,True,False,boundarypoint,[],0.6397316774311604,0.7468189941566533,0.6705041689108239
distance_intent2treat_explained,oracle_kernel,1.299192190170288,,0.1438377747654922,,,,,,,,,70,1069158761,False,True,False,distance,[],,,
